mass_bin_q,D_t_quench,r_eff_q,mass_bin,D_t_infall,r_eff,t_infall,t_quench,r_eff_tq,r_eff_ti,t_univ,preprocessed,logmass,r_eff_uncorrected,fig2_index,mass_bin_fig2
0,2.477731713246792,3.626940653613311,0,0.0,3.6269407528436544,13.800374294312729,11.322642581065937,2.3731160056959943,3.618889446301034,13.8,1,7.046227332171841,3.6188886850607913,85,0.0
1,4.740009569176313,1.5809855212338464,1,2.8009134624310703,1.5809857683243886,10.999460831881658,9.060364725136417,1.456772122153274,1.6405750282356537,13.8,1,7.547089879356791,1.5729341811316913,36,1.0
1,5.3325106869183285,1.5847187241094411,1,5.739854264505679,1.5847187300317789,8.06052002980705,8.4678636073944,1.2014911817958749,1.18060105356918,13.8,0,7.572573057872861,1.5766673839442642,53,1.0
1,7.648650906713324,1.5924994541241708,1,7.002285537798248,1.5924997485622874,6.79808875651448,6.151723387599405,1.1739248172632213,1.2732840269635743,13.8,1,7.599411955588131,1.5844479556689,62,1.0
1,1.077274003421718,1.6322909594290431,1,0.6934951161812211,1.6322913473508094,13.106879178131509,12.723100290891011,1.384050229803094,1.4424718504814098,13.8,1,7.780966650468547,1.6242396845630929,48,1.0
1,7.648650906713324,1.6588137313643383,1,3.1240970877489005,1.658813780111547,10.676277206563828,6.151723387599405,1.3352026603924867,1.647529616953467,13.8,1,7.650557195968979,1.6507619544566996,107,1.0
1,6.355920168883165,1.664384796495756,1,6.867625850725863,1.6643847966606655,6.932748443586865,7.444454125429564,1.3531266804701672,1.3188431336506927,13.8,0,7.556490592998435,1.656333255467381,69,1.0
1,4.416825943858491,1.7122552640641795,1,4.915066033338064,1.7122556462069634,8.885308260974664,9.383548350454236,1.575511192976827,1.4906426029386917,13.8,0,7.872085104297295,1.7042038360510907,19,1.0
1,6.504045448318666,1.783321310895989,1,6.355920168883165,1.7833216397231826,7.444454125429564,7.296328845994062,1.1450155911320576,1.213852754822749,13.8,1,7.627216667531927,1.7752697855265005,56,1.0
1,6.032738425285912,1.8570339641724287,1,3.1240970877489005,1.8570341431334008,10.676277206563828,7.767635869026817,1.444918302352597,1.777077553026256,13.8,1,7.805988096585507,1.848982327209058,76,1.0
1,6.355920168883165,1.954550368873302,1,6.679103794200987,1.9545502998884032,7.121270500111741,7.444454125429564,1.420450909496295,1.327927773839758,13.8,0,7.805263238791992,1.946499105022668,43,1.0
1,4.033047152906603,1.9797874177404144,1,2.612391405906194,1.979787780548779,11.187982888406534,9.767327141406126,1.6605172006863154,1.8296362636024592,13.8,1,7.84458707639418,1.9717358057958931,71,1.0
1,2.8009134624310703,2.1132616220481024,1,2.612391405906194,2.1132618788509867,11.187982888406534,10.999460831881658,1.8408185045484908,1.949868372729625,13.8,1,7.505619817770616,2.10521019842724,17,1.0
1,5.70955668168865,2.181304923636163,1,2.154549888564477,2.181305079162228,11.645824405748252,8.090817612624079,1.7405668395776737,2.244785250243988,13.8,1,7.993364118359564,2.1732535724618893,25,1.0
1,6.032738425285912,2.2025127054646743,1,3.447278831346154,2.2025128112783823,10.353095462966577,7.767635869026817,1.9100132987995344,2.048277299227864,13.8,1,7.556975354243848,2.1944607289077958,95,1.0
1,5.191118203664384,2.226114584009856,1,4.033047152906603,2.2261145917585035,9.767327141406126,8.609256090648344,1.997346084507018,2.05913211708662,13.8,1,7.825509732898704,2.2180632397507685,37,1.0
1,5.063191312773575,2.2984191378187586,1,5.063191312773575,2.298419284881036,8.737182981539153,8.737182981539153,2.0695208761610573,2.0695209915860207,13.8,0,7.982837436552438,2.290367741841357,38,1.0
1,8.295016275628408,2.4544207655212293,1,8.295016275628408,2.454420756770298,5.505358018684321,5.505358018684321,2.402749123776493,2.402749140659802,13.8,0,7.9117786932707075,2.4463687809628154,97,1.0
1,4.416825943858491,2.4678728707710995,1,4.740009569176313,2.467873005587036,9.060364725136417,9.383548350454236,1.772993260299062,1.5807938919545104,13.8,0,7.936388414786658,2.459821597177496,46,1.0
1,0.538637001710859,2.5018092917027444,1,0.2154551770285449,2.50180932770675,13.584919117284183,13.26173729260187,2.5020812831632155,2.497087358844378,13.8,1,7.762143940984242,2.493757783045443,12,1.0
1,3.0332024575772376,2.5105516882257897,1,1.5990790104555916,2.510552012676073,12.201295283857135,10.767171836735493,2.075071669628208,2.264256036462382,13.8,1,7.76147744801473,2.5025001740874884,9,1.0
1,6.130365851639125,2.5410244716182144,1,6.355920168883165,2.541024697506882,7.444454125429564,7.670008442673604,2.281401124967528,2.240250992924319,13.8,0,7.99848469116463,2.532972851234716,65,1.0
1,7.648650906713324,2.6936495706515564,1,7.648650906713324,2.693649737330401,6.151723387599405,6.151723387599405,1.8690685751482332,1.8690686630968807,13.8,0,7.980031222493696,2.685597871196016,68,1.0
1,10.510160789258832,2.722853301146734,1,7.971832650310586,2.722853369355676,5.828541644002143,3.290213505053895,4.5637106958285205,3.199384434239786,13.8,1,7.887886466766607,2.714801212795188,100,1.0
1,6.355920168883165,2.731753582496821,1,6.763265628191084,2.731753601882862,7.037108666121645,7.444454125429564,1.9389380840817845,1.6628994832035997,13.8,0,7.565912911298688,2.723701474755865,105,1.0
1,6.032738425285912,2.773391092424245,1,2.8009134624310703,2.77339096426212,10.999460831881658,7.767635869026817,2.704053329669451,2.7565579617996696,13.8,1,7.838791922308358,2.7653393073510077,84,1.0
1,1.077274003421718,2.8550414933081303,1,0.5420034006462544,2.855041551963894,13.258370893666472,12.723100290891011,2.3496789843068138,2.5956180085258462,13.8,1,7.800340225004458,2.846990264973255,44,1.0
1,2.11078482068328,3.141452760108145,1,2.477731713246791,3.141452894424466,11.32264258106594,11.68958947362945,2.9162547503208014,2.7086856522715856,13.8,0,7.982407761812186,3.133401427886594,50,1.0
2,3.447278831346154,2.0763132481221,2,3.447278831346154,2.076313363056181,10.353095462966577,10.353095462966577,1.5349859994539137,1.5349862177490046,13.8,0,8.025174693410689,2.0682618531932917,18,2.0
2,5.3325106869183285,2.3321772939166974,2,1.649576876207597,2.332177342179926,12.150797418105132,8.4678636073944,2.1829528603306505,2.3524124668103474,13.8,1,8.343020460712884,2.3241257563986397,14,2.0
2,4.740009569176313,2.410019476155777,2,4.915066033338064,2.410019807871476,8.885308260974664,9.060364725136417,1.7171617385191535,1.601912274140396,13.8,0,8.057426148413198,2.401967960800054,7,2.0
2,6.679103794200987,2.4100425060451043,2,7.002285537798248,2.4100424523216883,6.79808875651448,7.121270500111741,2.105121760662983,2.0647077620474046,13.8,0,8.08270792461275,2.401991208069848,41,2.0
2,6.504045448318666,2.4200881630415947,2,4.033047152906603,2.4200883976702707,9.767327141406126,7.296328845994062,1.800261101633362,2.072916274009508,13.8,1,8.020787443028798,2.412036944443574,30,2.0
2,4.033047152906603,2.4580055267880008,2,4.740009569176313,2.458005806856089,9.060364725136417,9.767327141406126,2.394597383333928,2.494049166782534,13.8,0,8.149693193702392,2.4499539436708866,6,2.0
2,8.295016275628408,2.648617127415416,2,8.61819801922566,2.648617152809688,5.182176275087068,5.505358018684321,3.0762386826534387,3.093989465372988,13.8,0,8.143612476711509,2.6405654884729617,58,2.0
